微博内容,发布者名称,发布时间以及设备,发布者主页
迪辅乐®益生菌💞为爱守「沪」宅家的这段日子里，你们还好吗？迪辅乐后台最近收到了很多小伙伴的咨询，都在问我们「上海疫情期间能不能送？」经过我们的努力，现在终于可以坚定地告诉你们：能送！！迪辅乐®益生菌🙌已开放48小时守「沪」专线～不必再为余量不足而焦虑。团够了粮食的小伙伴​展开c,DiPRO迪辅乐健康生活,36秒前 来自iPhone客户端,https://weibo.com/7267878199?refer_flag=1001030103_
#上海嘉定殡仪馆3名干部被问责#因为过度防疫得不到救治、或因为“强行救治”致死的人找谁问责啊​,淡季水族馆,52秒前 来自iPhone客户端,https://weibo.com/6273169842?refer_flag=1001030103_
附议//@肥肥小炸虾:我是建议全国各地失业民众在解封以后统一来上海市委门口静坐，出来一个卫健委和防疫办的就拖走一个，别闹出人命来就好，其他你们随意,竹大喵,54秒前 来自新版微博weibo.com,https://weibo.com/1747697483?refer_flag=1001030103_
#黄明昊为上海捐赠防疫物资#好棒！上海加油！,小贾放的屁,1分钟前 来自蛋妈Android,https://weibo.com/6506341004?refer_flag=1001030103_
【午间对话：隐瞒行程造成疫情社会面传播风险将面临什么法律责任？】日前，一对母女无视防疫规定，刻意隐瞒行程，从上海乘坐高铁到杭州，事后一人核酸检测阳性，造成社会面传播风险，被警方依法立案调查。如此行为将面临哪些法律后果？今天我们把广东伟伦律师事务所的郑俊豪律师请到演播室，从法律角​展开c,惠州电视台午间新闻,1分钟前 来自微博视频号,https://weibo.com/1774779787?refer_flag=1001030103_
#王一博给上海捐赠防疫物资#,叶罗丽精灵梦9785,1分钟前 来自5G自拍手机vivoS6,https://weibo.com/6939786226?refer_flag=1001030103_
#王一博给上海捐赠防疫物资#王一博#正能量艺人王一博#@UNIQ-王一博#王一博#,老故事98246,1分钟前 来自RedmiNote11Pro+,https://weibo.com/5693534732?refer_flag=1001030103_
#王一博给上海捐赠防疫物资##正能量艺人王一博#正能量艺人王一博王一博给上海捐赠防疫物资王一博不愧是你王一博真好,cmonster见,1分钟前 来自RedmiK30全速热爱,https://weibo.com/6063311266?refer_flag=1001030103_
#黄明昊给上海捐赠防疫物资#昊昊好棒！​,橘味的酒,1分钟前 来自iPhone客户端,https://weibo.com/6998653906?refer_flag=1001030103_
#王一博给上海捐赠防疫物资#wyb#王一博#宝你真的特别好特别温暖永远都是那么善良愿大家都能平平安安@UNIQ-王一博​,美好的八十五号,1分钟前 来自iPhone客户端,https://weibo.com/5611358705?refer_flag=1001030103_
#王一博给上海捐赠防疫物资##正能量艺人王一博#正能量艺人王一博王一博给上海捐赠防疫物资王一博不愧是你王一博真好,cmonster见,1分钟前 来自RedmiK30全速热爱,https://weibo.com/6063311266?refer_flag=1001030103_
从现实的角度来讲，确实是这样，总结出适合本国国情的经验你不去遵守，结果就是疫情和防疫压力陡然上升。确实有些防疫措施确实应该改进，多考虑基层的医护志愿者和普通百姓。但是上海还没法谈到这一步，因为路线就有问题。医疗、技术、媒体、经济和官僚体系的强力，反而是当地权贵牺牲基层赌博的底气,Battle-Call,1分钟前 来自HUAWEIMate30Pro5G,https://weibo.com/5151712162?refer_flag=1001030103_
危难时刻出英雄懂吗？现在是出现危难了什么时候可以把目光聚焦在群像而不是个体上？如果不可以解决问题那就请报道问题听到了吗大V们媒体人们停止为了流量去拼凑褒奖个体的文章请把笔墨和视线放到出现英雄的环境里实事求是的说话是没有错的如果不敢就闭嘴真正的大同世界是各司其职没人喜欢​展开c,水重要吗,1分钟前 来自iPhone12ProMax,https://weibo.com/7420850402?refer_flag=1001030103_
加油！//@王一博_WYBBar:王一博wyb#王一博给上海捐赠防疫物资#wyb#王一博公益#感谢一线防疫工作人员。辛苦啦！疫情快快散去，就让我们一起加油吧！@UNIQ-王一博,唯爱eighty-five,1分钟前 来自酷盖小摩托Android,https://weibo.com/7715170830?refer_flag=1001030103_
#王一博给上海捐赠防疫物资#非常喜欢这个正能量满满的王一博！,窗外树上喜鹊家,1分钟前 来自Android客户端,https://weibo.com/7569001868?refer_flag=1001030103_
长蛆的午餐肉，发霉的酱鸭，没有外包装的叫花鸡，早上居委会还特地广播“大家不要吃第三批物资中的叫花鸡，酱鸭，狮子头”，但此时此刻，我们需要的是真相，究竟是谁给了这些人这么大的胆子，给遭灾的上海民众发这样的物资，如此罔顾人民群众的安危吗！上海#上海物资##上海疫情#​展开c,李一cici,1分钟前 来自上海超话,https://weibo.com/2134915655?refer_flag=1001030103_
