微博内容,发布者名称,发布时间以及设备,发布者主页
微博内容,发布者名称,发布时间以及设备,发布者主页
#卫龙辣条包装被指打低俗擦边球#我今天刚买了很多贼辣​,宇鱼乖宝,1秒前 来自OPPOA92s,https://weibo.com/6640496805?refer_flag=1001030103_
#卫龙回应包装争议广告语#叛逆​,朽月99,2秒前 来自荣耀30S5G美由芯生,https://weibo.com/6404223330?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#虽然但是好像从来没注意过封面我是真的很爱卫龙好久没吃了依旧很馋​,软糖贩卖店,2秒前 来自HarmonyOS设备,https://weibo.com/6303065776?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#没注意过，不过蛮好吃的​,橄榄塔·养乐多版,3秒前,https://weibo.com/6095871528?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#你怎么想这么多，，😉​,记得加盐·,3秒前 来自🧂HarmonyOS设备,https://weibo.com/7455317943?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#？吃了这么多年就没注意到​,不喝可乐啊不喝可乐,3秒前 来自小米CC9,https://weibo.com/7579922864?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我看到有这些字后就没有再买过了。警惕带坏行业风气。儿童们是不识字吗，接触这些，我感到担忧。​,世界第一喜新厌旧,3秒前 来自三星Note20Ultra5G,https://weibo.com/5387008830?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#2块钱的那个卫龙好吃，包装不是白色也没有标语的那个（但不知道现在涨价了没有）也不会被投诉​,麋鹿养羊,4秒前 来自小米10Pro,https://weibo.com/7202521568?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#你没事吧😅我寻思我咋看也没看出来个擦边球图啊​,小萌生活日记,4秒前 来自iPhone11,https://weibo.com/5393084259?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#咱就是炫辣条的时候也不会分心思琢磨包装上的字的🙏​,比个柯基臀,5秒前 来自iPhone客户端,https://weibo.com/7041025693?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我真没想这么多​,躺着绝不坐着-,5秒前 来自荣耀20i,https://weibo.com/7611143036?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#。。建议实在不行就找个厂上吧。。一天天闲的​,o波比酱o,5秒前 来自iPhone客户端,https://weibo.com/7397585557?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#脑子了有啥样的就会说啥吧……​,黄Nil,5秒前 来自OPPO智能手机,https://weibo.com/7313031223?refer_flag=1001030103_
//@星语寒寒:卫龙辣条还有“压惊”、“贼棒”系列又该怎么说？,时雨0615,6秒前 来自OPPOA35,https://weibo.com/7652487255?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#贱不贱啊卫龙我还以为我号又有问题了有错就改限流是什么毛病贱不贱啊你你就是擦边就是擦边就是擦边@卫龙美味​,矫情鬼的逼逼赖赖,8秒前 来自HUAWEIP30,https://weibo.com/7623188820?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#好吃就行管管那么多​,我是愧不_JZH,8秒前 来自HUAWEIP30Pro,https://weibo.com/7461112547?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我吃这么多年都没发现​,大杯茉莉奶绿加茶冻,9秒前 来自OPPOReno4SE5G,https://weibo.com/5905657553?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我擦，之前还见过TT包装的辣条​,afjdlzh,10秒前 来自iPhone客户端,https://weibo.com/1912451850?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#看见辣条两个字不就会想到好吃吗2青岛​,知名电影观众1,14秒前 来自荣耀505G,https://weibo.com/7361531622?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#绝了，你心里想什么就是什么呗​,little芙蝶小公举,14秒前 来自OPPOA8,https://weibo.com/7548594946?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#自己脑子里脏，看啥都是脏的。非要往那儿想，谁有什么办法呢？那请问杜蕾斯以后还做广告吗？2西安​,西安校园学长,17秒前 来自HarmonyOS设备,https://weibo.com/5765298156?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#我吃了这么多次都没注意过...​,张得柯元,18秒前 来自OPPOReno55G,https://weibo.com/7160404800?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#懂得真多!吃个辣条而已，谁没事往那想啊!​,影视迷丫丫快乐冲浪,18秒前 来自Android,https://weibo.com/7518617412?refer_flag=1001030103_
#卫龙回应包装争议广告语#笑晕～没看这个新闻我都不知道包装上面有这些字眼卫龙辣条像植入人的心智一样，第一眼是白色袋子，上面有辣条图片，并且找到有“卫龙”二字，就对了，然后也没了​,李艺子,20秒前 来自iPhone客户端,https://weibo.com/1975180791?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#吃辣条和不吃辣条的人都沉默了​,明恋时·,20秒前 来自vivoY51s5G,https://weibo.com/6984318185?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#人不大，思想挺龌龊​,来串鱼丸呗,21秒前 来自OPPOA725G,https://weibo.com/7424150938?refer_flag=1001030103_
#卫龙回应包装争议广告语#从没有注意过就吃个辣条这么多啊这？？？2广州·广州大学城​,不秃头的大七,22秒前 来自HUAWEIP405G,https://weibo.com/6013646820?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#不说我都不知道上边还有字​,白昼暮色图,22秒前 来自花果山上的Android,https://weibo.com/7604389190?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#不理解不理解不理解。无语​,·已覺春心動·_,22秒前 来自Android,https://weibo.com/6069055947?refer_flag=1001030103_
#卫龙辣条包装被指打低俗擦边球#鸡肉味锅巴也快了​,很酷没人认识我,24秒前 来自荣耀X305G,https://weibo.com/6331943771?refer_flag=1001030103_
