微博内容,发布者名称,发布时间以及设备,发布者主页
@拼多多“我打补丁了，所以不实”,都是倒霉蛋,5秒前 来自荣耀20PRO,https://weibo.com/7330056752?refer_flag=1001030103_
自嗨锅需要互助互点的有吗？太南了今天很多没点过，拼多多次数都在诚信互回​,WJ文晶,5秒前 来自微博HTML5版,https://weibo.com/2815927424?refer_flag=1001030103_
我参与了@新浪科技发起的投票【你在拼多多砍价成功过吗？】，我投给了“从来没有”这个选项，你也快来表态吧~,毕胖纸,8秒前 来自HUAWEIMate20,https://weibo.com/2091994920?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#​,纯白奶黄包,9秒前 来自nova8Pro我由我掌镜,https://weibo.com/3742957520?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#这拼多多砍不到我寻思不是常识嘛。还有人对拼多多抱有希望呢​,LeeSSangx24,9秒前 来自iPhone客户端,https://weibo.com/5374508677?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#怎么说呢​,三色流苏,10秒前 来自Xiaomi12,https://weibo.com/2499581200?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#商家早就把规则研究透了，让你砍价没有那么容易！,北鼻小鹿,13秒前 来自荣耀V204800万3D相机,https://weibo.com/5243140390?refer_flag=1001030103_
是不是别人不发火就把别人当傻子啊拼多多？​,了不起的王卷卷,13秒前 来自荣耀8X,https://weibo.com/6534563670?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#好吧，又出名了！​,小宝-APPLE,14秒前 来自iPhone客户端,https://weibo.com/2640858823?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#至今没有下载拼夕夕的评论区集合一下2阜阳​,阜阳事件,14秒前 来自iPhone客户端,https://weibo.com/5940240142?refer_flag=1001030103_
互助要点拼多多的姐妹有吗​,June的繁华一点,15秒前 来自iPhone客户端,https://weibo.com/2783445101?refer_flag=1001030103_
#与君初相识#咱们聊天室助力我拼多多砍一刀吗？嘿嘿（大家一定要注意，不要乱点链接，谨防诈骗）​,Eminent的大宝贝,17秒前 来自荣耀305G,https://weibo.com/7098804377?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#O网页链接试试​,撩妹能手赵东来,17秒前 来自小米10,https://weibo.com/6352232509?refer_flag=1001030103_
真的很烦拼多多的砍一刀。从来不请别人替我砍，亲友要求我砍的时候我让他们在我手里自行下载，砍完了赶紧删掉,襟上杭州旧酒痕7,17秒前 来自微博国际版,https://weibo.com/1793915395?refer_flag=1001030103_
拼多多的套路告诉你小数点后是无止境的,熊猫老元,18秒前 来自Android,https://weibo.com/1133223820?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#拼多多是我见过最不要脸的软件，把互联网的资本运作发挥到了极致。不光砍价，还有一堆返现，拼团。返现一直在玩语言游戏，拼团最终价格也不比淘宝低。我为我曾经上过的当觉得羞耻，从心底里希望这个公司早点倒闭​,津南最长眼睫毛,18秒前 来自vivoT1全芯高能,https://weibo.com/6251568582?refer_flag=1001030103_
#拼多多助力#pdd还有互的么​,爱吃葡萄香蕉,20秒前 来自iPhone客户端,https://weibo.com/7722684683?refer_flag=1001030103_
我参与了@新浪科技发起的投票【你在拼多多砍价成功过吗？】，我投给了“从来没有”这个选项，你也快来表态吧~,wf哥们123,25秒前 来自HUAWEIMate20,https://weibo.com/1288773767?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#回应什么，自信亿点，用户都不敢把你怎么样，毕竟您家律师可不是吃白饭的​,悬尔未决,26秒前 来自说废话专用机,https://weibo.com/6896750352?refer_flag=1001030103_
李云龙：给我6万人，直接砍下太原陈浩南：给我6万人，直接砍下香港拼多多：给你6万人，连一部手机都砍不成功[旺柴]​,恒馨·霖蔚,26秒前 来自iPhone客户端,https://weibo.com/6518827892?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#滚​,你汀我狡辩,32秒前 来自iPhone客户端,https://weibo.com/6937036426?refer_flag=1001030103_
好主意//@午后狂睡:笑出声…估计拼多多要说我们回应的重点是没有6万人参与砍单，而不是别的，建议主播每天随机抽取一个水友的号直播砍嘛，今日你帮我，明日我帮你，只要坚持下来，每个水友都能砍下来，这样大家都开心，拼多多也会很开心的。,渐行渐远的旧日时光,32秒前 来自iQOO7全感操控,https://weibo.com/1411415234?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#拼多多就是不承认虚假宣传，就是说不断完善，这个社会真搞笑。​,突突兔存钱罐,33秒前 来自OPPOR15梦镜版,https://weibo.com/2370813130?refer_flag=1001030103_
H、能*7（#拼多多回应六万人砍价不成功#，搅拌机​,追梦使者小杜,33秒前 来自HUAWEIP405G,https://weibo.com/5345213925?refer_flag=1001030103_
#拼多多助力#pdd有互的么​,爱吃葡萄香蕉,38秒前 来自iPhone客户端,https://weibo.com/7722684683?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#拼多多回应游戏主播直播邀请几万人砍价不成功：砍价成功，商品已送达，几万人参与砍价不实。L小肥仔带你去探店的微博视频​,小肥仔带你去探店,39秒前 来自微博视频号,https://weibo.com/6090644651?refer_flag=1001030103_
恒大财富#如何看待六万人拼多多砍价不成功#,xiaoDianQ,41秒前 来自HUAWEIMate20Pro,https://weibo.com/7387804495?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#标题明显有误导成分，只是直播有六万人在看，并不是实际参与人数啊，当然，没有洗白拼夕夕的意思​,Evonnmme,43秒前 来自iPhone12,https://weibo.com/2540296311?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#某多多小数点后还有6位，大家这么快就忘了吗？6位数，个十百千万十万，区区6万人，你就想砍价成功，你是看不起程序猿吗？2乐山​,四川乡村骆小哥,44秒前 来自向李工借的Android,https://weibo.com/2658368963?refer_flag=1001030103_
助力0.8出拼多多0.25出抖音话费​,释迦和莲雾51129,43秒前 来自助力超话,https://weibo.com/7545393591?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#砍过，没成功。就卸载了！惹不起，拜拜​,想给你全世界最甜的糖,45秒前,https://weibo.com/3658649023?refer_flag=1001030103_
我参与了@新浪科技发起的投票【你在拼多多砍价成功过吗？】，我投给了“从来没有”这个选项，你也快来表态吧~,用户8141288821,46秒前 来自iPhone客户端,https://weibo.com/5884268744?refer_flag=1001030103_
以后再也不在拼多多买一些虚拟产品，买了一个永久美区账号，结果登上去屁也下不了，找客服，就拿个机器人忽悠我，连个人工客服也没有，真尼玛斯吗了​,女宠小野猫,46秒前 来自華晨宇的火星人,https://weibo.com/7610014448?refer_flag=1001030103_
#樊振东晋级WTT男单决赛##拼多多回应六万人砍价不成功#朋友们，救救孩子的比赛作业@CDD01915:借个楼，广州深圳的职工朋友们可以到我微博里填个问卷吗，是孩子的比赛作业，麻烦大家认真填写问卷，填完之后都会有审核的过程，麻烦大家按实际情况填写哈认真填完会有红包噢​展开c,CDD01915,48秒前 来自nova4e3200W立体美颜,https://weibo.com/7586061270?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#呵呵拼夕夕的套路​,·浅蓝色爱恋·,47秒前,https://weibo.com/7275030821?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#卸载拼多多的人越来越多了​,媒体圈子,48秒前 来自vivoNEXAI智慧旗舰,https://weibo.com/1707488083?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#我砍成功过一次​,哈尔的移动充电线,51秒前 来自亦熙🍓iPhone13,https://weibo.com/6868003284?refer_flag=1001030103_
//@应旺:经过网友的助力，在平台成功砍到一部手机，感谢大家的支持，如果我能收到这部手机，将选出一名网友送出本部手机，转发本条微博即可参与抽奖！与此同时#拼多多回应完善活动流程#，这也是我和大家都希望看到的#全网等拼多多一个回应#,卷心菜还能继续卷,53秒前 来自OPPOA535G,https://weibo.com/5789888073?refer_flag=1001030103_
哈哈哈哈哈哈好好笑哦拼多多,煮十一壶清酒,54秒前 来自RedmiK305G先锋,https://weibo.com/5651029796?refer_flag=1001030103_
#拼多多回应六万人砍价不成功#很正常的一件事​,最近通畅吗,55秒前 来自刘耀文的满月,https://weibo.com/6518706623?refer_flag=1001030103_
