微博内容,发布者名称,发布时间以及设备,发布者主页
#普京万字讲话全文#哎...那帮人模狗样谴责战争的人才是引起这场战争的罪魁祸首……世界和平真的好难...只能庆幸生在了中国🇨🇳​,XX__YYYY,1秒前 来自iPhone客户端,https://weibo.com/1847274673?refer_flag=1001030103_
摩羯也不想动心可是他是普京诶​,天才小摘日记,2秒前 来自iPhone,https://weibo.com/7426766581?refer_flag=1001030103_
普京万文讲话，信雅达的翻译,洛神朱青水碧,2秒前 来自iPhone客户端,https://weibo.com/2162624521?refer_flag=1001030103_
#普京万字讲话全文#看来俄罗斯真的不开心了，乌克兰真的是块中间地带，要是让他们加入北约，对俄罗斯太不利了。乌克兰球星舍甫琴科在英国为祖国呼吁，但叫破喉咙估计我没人会理吧​,知小渝城探,2秒前 来自HUAWEIMate40Pro,https://weibo.com/5972719544?refer_flag=1001030103_
#普京万字讲话全文#讲的很到位，条理也很清楚。​,福小狮Fxs,3秒前 来自iQOONeo,https://weibo.com/5671846766?refer_flag=1001030103_
//@沐雪舞晨曦:不是因为他是普京，只因为他是为捍卫国家利益和尊严而战的人,Csjseason,3秒前 来自iPhone客户端,https://weibo.com/1834545897?refer_flag=1001030103_
普京：俄罗斯都毁灭了，还留着地球干什么。,漫步云中去天涯,3秒前 来自HUAWEIMate305G,https://weibo.com/2784627752?refer_flag=1001030103_
#普京万字讲话全文#我们爱好和平，但以斗争求和平则和平存，以妥协求和平则和平亡。——毛爷爷不谈其他的，就说普京的发言，真是让人狠狠共情了，西方抑制俄的把戏不就是抑制我们的把戏？鱼翅事件、乱港事件、科技制裁、贸易战、奶蛋肉事件、碳排放G7、新疆棉事件、疫情摸黑、疫苗摸黑。。。一​展开c,o我是一颗糖o,3秒前 来自华为手机,https://weibo.com/6911847913?refer_flag=1001030103_
//@梦溪石鸭:有人说太长我概括下，普京说：1、北约承诺绝不东扩，但反悔了，要把乌克兰纳入北约（即北约导弹可以直接推到俄边境）2、北约对南斯拉夫等国轰炸，让他知道西方本质就是“自己做啥都行，但不准别人做”3、俄罗斯也曾相信过西方，自废武功甚至单方面裁军，但没用。4、忍无可忍，要战就战。,阿苍苍是社畜,4秒前 来自nova5Pro人像超级夜景,https://weibo.com/1787219021?refer_flag=1001030103_
"//@张赓_33:可能乌克兰也没想到普京下死了狠心吧普京说得也是很实在的，""政治都是肮脏的，但是不至于肮脏至此""",昵称支持中英文与汉字,6秒前 来自荣耀V30PRO5G,https://weibo.com/5853589116?refer_flag=1001030103_
#俄乌双方正在激战#普京加油，普京大帝​,墩墩桃子66,5秒前 来自橘总的小Android,https://weibo.com/6005904107?refer_flag=1001030103_
【#普京万字讲话全文#】在行动前的2月21日，普京发表全国电视讲话，从历史上阐述了乌克兰和俄罗斯的关系，并且指出，苏联解体后，正是乌克兰的激进分子和民族主义者将西方势力引入乌克兰，以对抗所谓的“俄罗斯威胁”。北约集团也背信弃义，不断压缩俄罗斯的生存空间，对俄罗斯国家安全造成了严重威胁​展开c,九江瑞昌发布,6秒前 来自HUAWEIP40Pro5G,https://weibo.com/2894982024?refer_flag=1001030103_
不愧是普京啊，坚定有力量！幸亏俄罗斯有普京，带领俄罗斯从一团糟走过来！还有就是外交部的俄语高翻真的太厉害了吧,来一盘土豆炒马铃薯,7秒前 来自RedmiK40,https://weibo.com/5252790926?refer_flag=1001030103_
#普京万字讲话全文#清醒而冷静的活着的智者，这长文就像告晚辈书，太多经历过才懂得的道理，如何让青年一代理解。'世界'把我们当杂音，以何立于丛林。​,正值年华,6秒前 来自居老师影迷Android,https://weibo.com/1752636815?refer_flag=1001030103_
#普京万字讲话全文#这段演讲真的是一针见血，字字血泪，被逼至此，感受到切身的疼痛，我们何况不是被西方逼迫的咬牙切齿，为了和平一忍再忍，但是国家的底线绝对不容侵犯。​,豆包囧囧麻,6秒前 来自微博国际版,https://weibo.com/2196687112?refer_flag=1001030103_
普京大帝的魅力，值得一首孤勇者。​,PurpleFlower_,6秒前 来自iPhone客户端,https://weibo.com/6709408450?refer_flag=1001030103_
普京大帝不愧是普京大帝,Lee水晶晶,7秒前 来自iPhone客户端,https://weibo.com/1785427815?refer_flag=1001030103_
#普京万字讲话全文##世界讨厌香菜日等我有钱了L疯雅的美少女的微博视频​,疯雅的美少女,8秒前 来自微博视频号,https://weibo.com/7716660681?refer_flag=1001030103_
#普京万字讲话全文#好硬气的讲话，霸气2拉萨​,快乐的青稞,8秒前 来自iPhone客户端,https://weibo.com/5248451765?refer_flag=1001030103_
狠狠共情了我们以前也是被这么对待的普京大帝讲的太好了,燃燃的季安,9秒前 来自华为平板M3听见震撼,https://weibo.com/7438041484?refer_flag=1001030103_
普京：有必要再一次解释我们为什么要这么做（全文）为普京总统点赞O网页链接​,用户6731952392,13秒前 来自vivo浏览器,https://weibo.com/6731952392?refer_flag=1001030103_
普京2.24讲话全内容，存档。​,五行定昆仑,13秒前 来自新版微博weibo.com,https://weibo.com/1508262784?refer_flag=1001030103_
#普京万字讲话全文#翻译好绝！！！​,愿为江水kylin,13秒前 来自iPhone客户端,https://weibo.com/7319298624?refer_flag=1001030103_
#普京万字讲话全文#兔的态度就是我的态度​,2021年一定要努力,13秒前 来自iPhone客户端,https://weibo.com/6485288732?refer_flag=1001030103_
//@奥斯卡李尔德:普京这发言稿真是字字泣血……西方媒体把世界舆论玩弄于股掌之中，颠倒是非避重就轻，对俄国是这样，对我们又何尝不是一样呢，我们国家也是常年被颠倒黑白的抹黑的看完就是感觉同病相怜//@吴小瑶EcHo:这段话讲的太好了，唉。“政治总是肮脏的，但不至于肮脏至此”,·峰不二子,15秒前 来自🪐iPhone12,https://weibo.com/2622061141?refer_flag=1001030103_
为了避免北约东扩发动战争，闪电战没搞成，结果导致更多国家想加入北约，有军事实力的大国开始考虑拥核，自己国家货币变成废纸一张，普京这仗打得值啊​,不会吃鱼的黑猫,16秒前 来自HUAWEIP405G,https://weibo.com/2608097743?refer_flag=1001030103_
"“我们想告诉普京，如果你认为你是来解放乌克兰的，如果你认为这里的人会把你当作某种圣人来迎接，那你就大错特错了。乌克兰人一定会狠狠地还手。""",爱情风暴患者,17秒前 来自HUAWEIP30,https://weibo.com/7463647924?refer_flag=1001030103_
#普京万字讲话全文#这才是真正的霸总人设吧，将来一定要把普京拍成电视剧或电影​,爱上洋甘菊,17秒前 来自iPhone客户端,https://weibo.com/1698094077?refer_flag=1001030103_
#普京万字讲话全文#满分作文。我决定今晚台灯就用白蓝红🇷🇺转着亮表达支持，就像欧洲支持乌克兰🇺🇦那样,小伊布今天干饭了吗,19秒前 来自iPhone12ProMax,https://weibo.com/1578194260?refer_flag=1001030103_
冬奥会白办了Imagine白唱了JohnLennon有被冒犯到#普京万字讲话全文#​,Teddy·Wong,20秒前 来自iPhone客户端,https://weibo.com/7326373790?refer_flag=1001030103_
#普京万字讲话全文#这几天的微博突然多了一群选择性反战的和平主义者，真不知道他们是反战呢？还是反中呢？​,七月与鹌鹑,19秒前 来自小米8周年旗舰手机,https://weibo.com/6201514169?refer_flag=1001030103_
#普京万字讲话全文#万字长文，我竟然看完了，写的真好​,橘子味的硬果,19秒前 来自vivoZ5全面实力派,https://weibo.com/7182704864?refer_flag=1001030103_
普京太会写了，史诗、真理、感情全都有。看完第一反应是：不愧是外交部高翻啊……“政治是肮脏的，但绝不至于肮脏至此”字字泣血了。//@蝶豆花与雪松://@果窖_1988:这是语言系的模范了好强的翻译，俄语大佬们,小狗勾在摇尾巴,20秒前 来自iPhone13Pro,https://weibo.com/1700261597?refer_flag=1001030103_
普京说他是忍无可忍，退无可退了​,百年树人6066,21秒前 来自OPPOReno55G,https://weibo.com/2553134501?refer_flag=1001030103_
#泽连斯基称乌克兰已被孤立##普京万字讲话全文#很喜欢王者荣耀关羽的一句话“自己选择的路再荒谬也要走完”​L大鳄吞金的微博视频​,大鳄吞金,20秒前 来自微博视频号,https://weibo.com/6067221215?refer_flag=1001030103_
//@唐僧在女儿国摸娱:普京：乌拉！拜登：拉啦！泽连斯基：领盒饭啦！欧盟：BBQ了！//@差不多先森说:美国就是恐怖组织！！！,圳源-,20秒前 来自iPhone客户端,https://weibo.com/6548049969?refer_flag=1001030103_
不愧是普京大帝，牛啊，出兵都这么有理由，难怪俄罗斯人民服气#普京万字讲话全文#,知遇的心鱼,21秒前 来自OnePlus8,https://weibo.com/5187278735?refer_flag=1001030103_
动之以情，晓之以理，不愧是普京,十二月VS雪,29秒前 来自华为手机畅享玩不停,https://weibo.com/3873342607?refer_flag=1001030103_
普京称，俄罗斯采取本次行动的目的，是为了自卫。一是因为，苏联解体后，乌克兰的激进分子和民族主义者将西方势力引入乌克兰，以对抗所谓的“俄罗斯威胁”；二是北约集团背信弃义，不断压缩俄罗斯的生存空间，对俄罗斯国家安全造成了严重威胁。,清知律师,29秒前 来自小米10S,https://weibo.com/7735702544?refer_flag=1001030103_
#普京萬字講話全文#本是同根生啊！普京看得太透彻了！乌克兰当局你清醒一点！百姓很无辜！​,烽烟四处,29秒前 来自微博国际版,https://weibo.com/3914153522?refer_flag=1001030103_
#普京万字讲话全文#战争，肯定会带来流血和伤亡，但是兔子急了还会咬人，更何况是战斗民族呢？我们从不侵犯他国，但是如果欺负到家门口来了，谁也忍不了！普京总统说的我是看明白了，相信俄罗斯的人民更是义愤填膺了。只是可怜了乌克兰那些无辜的平民沦为了北约政治的牺牲品？​,草莓味儿炸鸡,30秒前 来自iPhone客户端,https://weibo.com/6465931236?refer_flag=1001030103_
#普京万字讲话全文#磅礴又悲怆​,JINGorssance,29秒前 来自iPhone客户端,https://weibo.com/6369709586?refer_flag=1001030103_
许多人都会记得//@等一艘宇宙飞船:普京真是苏联最后一点极致的浪漫与荣光,cestlavie28349,30秒前 来自iPhone客户端,https://weibo.com/7409418115?refer_flag=1001030103_
#普京万字讲话全文#“谁敢说乌克兰不是俄罗斯的一员？”2上海​,Rhy7hm_,30秒前 来自iPhone客户端,https://weibo.com/5242186445?refer_flag=1001030103_
#普京万字讲话全文#敬佩​,信长chen,32秒前 来自iPhone客户端,https://weibo.com/6499720859?refer_flag=1001030103_
普京最想要的还是波罗的海三国，但是他打不了。对乌克兰出手缓解了他自己目前的压力，但同时把芬兰瑞典等国推远了。从他的立场上看，很难说这一步棋走的是对是错。​,顶着袖白雪的小肉球,32秒前 来自iPhone13,https://weibo.com/1935043971?refer_flag=1001030103_
//@Ace册:普京：马上就到你门口//@我与夏风皆过客bx_:他真的好想和普京打电话,喵喵582566213,32秒前 来自iPhone客户端,https://weibo.com/5635325350?refer_flag=1001030103_
//@esaikai:呵呵普京赢了。欧盟继续购买俄罗斯天燃气。俄罗斯占有乌克兰，没有北溪线利用乌克兰的管道也能向欧盟输送天燃气。,esaikai,32秒前 来自HUAWEInova3e,https://weibo.com/1222787927?refer_flag=1001030103_
#普京万字讲话全文#u1s1普京大帝颜值还行​,扣扣cocococo哦,33秒前 来自iPhone客户端,https://weibo.com/5435759974?refer_flag=1001030103_
#普京万字讲话全文#去运动+晒太阳补钙2上海·上海东方万国企业中心​,fighting日富一日,33秒前 来自iPhone客户端,https://weibo.com/6153501109?refer_flag=1001030103_
#普京万字讲话全文#不会再受欺负，🇨🇳中国也会越来越强大的​,一点点都不欧,33秒前 来自iPhoneXSMax,https://weibo.com/6444103798?refer_flag=1001030103_
本想躺平刷刷新闻刷刷剧的一天但发展成了上午算劳务整理公众号收患者明天的组会提前到今天紧急做PPT中午2小时组会下午继续收患者写病历现在还没吃上早午饭额的眼冒金星但又怕吃了东西一会吃不下羊蝎子okfine看完普京一万字感慨三分钟打开电脑开始改国自然​,五支耳塞,34秒前 来自微博国际版,https://weibo.com/6105657605?refer_flag=1001030103_
//@王峻涛6688:这种情况估计普京没想到,快乐Helen猫,34秒前 来自iPhone客户端,https://weibo.com/7092612037?refer_flag=1001030103_
#普京万字讲话全文#说的太好了，现在不拿起武器保护自己，那以后面对的就是整个北约。漂亮国的恶心事做的还不够多吗？如果乌克兰成功加入北约，那台湾，韩国是不是也快了？？？​,超神招财兔,34秒前 来自HUAWEIMate20,https://weibo.com/5080533235?refer_flag=1001030103_
#普京万字讲话全文#这个翻译真的好强。简直是道理掰碎了讲给反战圣母听。对乌克兰完全一句不入北约屁事没有。​,那个柚子好甜呀,35秒前 来自iPhone客户端,https://weibo.com/5684312717?refer_flag=1001030103_
普京大帝万字讲话水平实在太高了！从古溯今，有理有据，引经据典，字字在理，铿锵有力，拜读全文，不得不让我肃然起敬！👍👍👍翻译君的水平也是非常高，通顺有条理，而且能结合语境，让读者能深有感触！非常有感染力！令人折服！！👍👍👍​,花之帝97,36秒前 来自iPhone客户端,https://weibo.com/2535036087?refer_flag=1001030103_
看哭了，很感动！普京个人魅力真的很大！,没事儿多吃水果,35秒前,https://weibo.com/5657804929?refer_flag=1001030103_
//@奥斯卡李尔德:普京这发言稿真是字字泣血……西方媒体把世界舆论玩弄于股掌之中，颠倒是非避重就轻，对俄国是这样，对我们又何尝不是一样呢，我们国家也是常年被颠倒黑白的抹黑的看完就是感觉同病相怜//@吴小瑶EcHo:这段话讲的太好了，唉。“政治总是肮脏的，但不至于肮脏至此”,我超想拍拖的,42秒前 来自iPhone客户端,https://weibo.com/5626895146?refer_flag=1001030103_
普京上任时还是亲美的//@sunwear:看完了,给我来一碗拌面,42秒前 来自HUAWEIP30Pro,https://weibo.com/3932312814?refer_flag=1001030103_
普京万字讲话全文：有必要再一次解释我们为什么要这么做O普京万字讲话全文：有必要再一次解释我们为什么要这么做​,壹页壹如来,42秒前 来自分享按钮,https://weibo.com/2274823700?refer_flag=1001030103_
#普京万字讲话全文#这个时代强调和平与正义，可是和平并不等于正义。​,我们可以吻烟花吗,42秒前 来自iPhone客户端,https://weibo.com/5212623177?refer_flag=1001030103_
普京,让别人羡慕你,43秒前 来自荣耀X20,https://weibo.com/5238835863?refer_flag=1001030103_
有一说一，普京是真的帅。​,没关系都是神经病W_,44秒前 来自iPhone客户端,https://weibo.com/5032390101?refer_flag=1001030103_
#普京万字讲话全文#,高冷拌-粉,43秒前 来自iPhone客户端,https://weibo.com/3046049171?refer_flag=1001030103_
【我是小妖怪普京万字讲话全文库里18分开创全面推进乡村振兴新局面躬身稼穑去孙颖颖俄乌双方正在激战 乌克兰蛇岛军人集体陈亡中国国旗在基辅脱销乌总统称西方完全放弃了乌克兰老头环关注俄乌局势最新进展苏绣】会粹苏绣您家谱：是“深浅远近”独门绝技的艺术品，是让孙子的孙子知道你！,苏绣专利工厂,44秒前 来自华为畅享Z5G,https://weibo.com/6542540136?refer_flag=1001030103_
#新闻看点#战争已经开始！周二，俄罗斯总统普京宣布承认乌克兰东部两个自行宣布成立的共和国(顿涅茨克人民共和国和卢甘斯克人民共和国)。该法令还包括派遣俄罗斯军队作为“维和部队”的命令。...O俄罗斯入侵乌克兰：黄金充当避难所​,金评媒JPM,44秒前 来自新浪看点客户端,https://weibo.com/5247761675?refer_flag=1001030103_
//@协和医生Do先生:#普京万字讲话全文#美国一直谋求地缘政治的红利，这一系列的步步紧逼，却关系到其它国家的生死存亡，美国对中国的围追堵截亦是如此，望周知！！！,昕昕还是那个昕昕,45秒前 来自iPhone客户端,https://weibo.com/1802061312?refer_flag=1001030103_
#普京万字讲话全文#谁也不想打仗，谁也不想战争，但是和平不是靠嘴说，是打出来的啊，我们现在的和平不就是几十年前打出来的嘛​,快乐贩卖机器小X,45秒前,https://weibo.com/3499063650?refer_flag=1001030103_
#普京万字讲话全文#希望俄罗斯人民相信你们的国家并全力支持你们的国家​,王喵西,45秒前 来自iPhone客户端,https://weibo.com/2278548153?refer_flag=1001030103_
居然派半兽人出来，普京是真的不想浪费时间在乌克兰，而且这帮家伙喜欢🈹头。​,kikihhffuhg,45秒前 来自iPhone12,https://weibo.com/1678306653?refer_flag=1001030103_
【普京：有必要再一次解释我们为什么要这么做】！|O网页链接​,邪羊本尊,46秒前 来自小米浏览器,https://weibo.com/1419709332?refer_flag=1001030103_
【持续关注！#直击俄乌局势24小时#】24日，普京决定在顿巴斯地区进行特别军事行动；乌克兰全境进入战时状态；乌克兰总统宣布与俄罗斯断交；俄空袭摧毁乌方74个军事设施……#视频看24小时以来俄乌局势#↓↓（人民日报）L人民日报的微博视频​,崆峒发布V,47秒前 来自微博视频号,https://weibo.com/3703718952?refer_flag=1001030103_
普京的讲话真的好牛啊我天，翻译的人也好牛​,kylin-xlh,49秒前 来自iPhone客户端,https://weibo.com/5266195302?refer_flag=1001030103_
#普京万字讲话全文#深刻落实党精神​,剑影BTC,49秒前 来自微博国际版,https://weibo.com/3298609065?refer_flag=1001030103_
#普京万字讲话全文#俄罗斯的年轻人到底还想要个啥样的总统。​,莱昂纳多肉葡萄,50秒前 来自三星Note10＋5G,https://weibo.com/1783936580?refer_flag=1001030103_
