微博内容,发布者名称,发布时间以及设备,发布者主页
#长沙自建房倒塌第9名被困者救出#加油​,敬蟹不敏,37秒前 来自真我GT大师探索版,https://weibo.com/7706201797?refer_flag=1001030103_
【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！#网易号播报#L央视新闻的微博视频​,网易号,39秒前 来自微博视频号,https://weibo.com/3231534372?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#祈祷🙏​,JMzCarolyn,55秒前 来自iPhone客户端,https://weibo.com/7279240707?refer_flag=1001030103_
【湖南长沙居民自建房倒塌事故救援有何困难？救援人员介绍现场】5月3日4时15分许，湖南长沙居民自建房倒塌事故第9名被困人员被救出。目前救援现场如何，还有哪些困难，一起听救援人员介绍现场情况。L海客新闻的微博视频​,天目新闻,56秒前 来自微博视频号,https://weibo.com/7300690586?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】5月3日4时15分许，湖南#长沙居民自建房倒塌事故第9名被困人员被救出#。5月3日凌晨，记者在事故救援现场看到，救援人员正在对第九位被困人员进行营救。3时10分左右，消防员判断其准确位置，并打通一个孔，看到了第九位被困人员，是一名女性。​展开c,永州市中级人民法院,1分钟前 来自Android,https://weibo.com/1206348743?refer_flag=1001030103_
#长沙自建房倒塌救出第8名被困人员#长沙自建房倒塌事故现场被困者“我想大口大口地喝矿泉水……”多么简单的事情，对于被困者来说却那么的奢望！愿所有人都平平安安#蓝V视界#L陈大大很有料LG的微博视频​,陈大大很有料LG,1分钟前 来自iPhone13(星光色),https://weibo.com/5806951996?refer_flag=1001030103_
最新消息！#长沙自建房倒塌第9名被困者救出#,秋田虹后生元,1分钟前 来自新版微博weibo.com,https://weibo.com/7455566497?refer_flag=1001030103_
"我分享了【湖南长沙居民自建房倒塌事故救援现场遇多重困难搜救持续进行】,快来看吧！|O网页链接​",肖洛霍夫曼,1分钟前 来自小米浏览器,https://weibo.com/3178097872?refer_flag=1001030103_
科普动起来丨为什么不“揭盖子”救？为什么画面里只有几个救援人员？为什么不拆了两边的房子救援？O网页链接4月29日中午12时24分，长沙市望城区金山桥街道金坪社区盘树湾一居民自建房发生倒塌事故，一幢8层的房屋粉碎性倒塌。5月1日晚间，“长沙居民自建房倒塌事故”现场，第7名被困人​展开c,月白鲤,2分钟前 来自HUAWEIMate305G,https://weibo.com/1242025633?refer_flag=1001030103_
"我分享了【第9名被困人员被救出！长沙居民自建房倒塌事故现场救援最新进展-新湖南】,快来看吧！|O第9名被困人员被救出！长沙居民自建房倒塌事故现场救援最新进展​",肖洛霍夫曼,2分钟前 来自小米浏览器,https://weibo.com/3178097872?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】5月3日4时15分许，湖南#长沙居民自建房倒塌事故第9名被困人员被救出#。5月3日凌晨，记者在事故救援现场看到，救援人员正在对第九位被困人员进行营救。3时10分左右，消防员判断其准确位置，并打通一个孔，看到了第九位被困人员，是一名女性。​展开c,楚雄州政法,2分钟前 来自iPhone客户端,https://weibo.com/7311913737?refer_flag=1001030103_
