微博内容,发布者名称,发布时间以及设备,发布者主页
微博内容,发布者名称,发布时间以及设备,发布者主页
黄明昊好棒！一起为上海加油💪#黄明昊向上海捐赠升级版防疫包#,·星月梦昊记·,4秒前 来自nova5Pro人像超级夜景,https://weibo.com/7002851387?refer_flag=1001030103_
排长长龙验核酸，也许每位街坊经历无数次也无数次嘀嘀咕咕但也都会有序去配合政府打这轮疫战。至今社会面已未发现阳性感染者，社会上也陆续恢复正常生活…费解？这局面下该让抗原检测小弟来发挥发挥了吧？毕竟它快捷，毕竟它可解放医务人员、检测人员、居委会、街办、义工们等等前线人员的工作压​展开c,Zheng英子U,4秒前 来自HUAWEIMate40Pro,https://weibo.com/2818625311?refer_flag=1001030103_
虽然今天一点才性但是下课还要去防疫站岗浅奖励自己吃点好的（封校时期高配​,一路嗝屁,9秒前 来自iPhone客户端,https://weibo.com/7517800713?refer_flag=1001030103_
两癌筛查健康教育核心知识#同心抗疫为爱而行##健康科普汇##北京疾控提醒您##北京战疫##新冠肺炎##关注新冠肺炎##生活百科##健康生活##新冠##终止疫情##北京疫情##疫情##健康##健康养生##健康生活##健康小知识##健康一冬##防疫##疫情防控##新型冠状病毒##加油北京##北京抗疫##创建全国文明城区##抗疫#​展开c,北京市大兴区青云店镇中心卫生院,11秒前 来自OPPOReno6Pro+5G,https://weibo.com/3136823705?refer_flag=1001030103_
【#世卫专家称要为今秋出现新一波疫情做好准备#】#世卫专家称放松防疫的做法不可取#世界卫生组织近日表示，新冠大流行继续构成“国际关注的突发公共卫生事件”，并建议各国随时做好应对准备。对此，世界公共卫生协会联盟主席、意大利卫生部新冠疫情顾问沃尔特·里查尔迪在接受总台记者采访时表示，那些​展开c,Hi柯磊,11秒前 来自微博视频号,https://weibo.com/1723304227?refer_flag=1001030103_
感觉我被骗子盯上了，老有人打着防疫的旗号加我，还有打第三针疫苗啥的，无语​,梅笛森歌,16秒前 来自华为nova8Pro,https://weibo.com/6129688652?refer_flag=1001030103_
【#世卫专家称要为今秋出现新一波疫情做好准备#】世界卫生组织近日表示新冠大流行继续构成“国际关注的突发公共卫生事件”并建议各国随时做好应对准备对此，世界公共卫生协会联盟主席、意大利卫生部新冠疫情顾问沃尔特·里查尔迪在接受总台记者采访时表示，那些认为新冠疫情已经结束的观​展开c,汉中中院,17秒前 来自微博视频号,https://weibo.com/2512254557?refer_flag=1001030103_
//@Justin黄明昊_0219会会:黄明昊❤️#黄明昊给上海捐赠防疫物资#黄明昊@jjjustin0219向上海捐赠一批升级版防疫礼包，感谢一线工作人员和志愿者的付出，和黄明昊一起为上海加油#致敬守沪者# ,肆號温柔,20秒前 来自OPPO智能手机,https://weibo.com/5971260034?refer_flag=1001030103_
u1s1防疫措施做的真垃圾，只会一味的封大学生2济宁​,毛豆没有痘,23秒前 来自HarmonyOS设备,https://weibo.com/3964303797?refer_flag=1001030103_
