微博内容,发布者名称,发布时间以及设备,发布者主页
//@北京铁路:#京铁发布#受此影响，管内京沪高铁部分旅客列车晚点运行，请广大旅客及时关注车站公告或中国铁路12306网站信息，妥善安排出行。@北京南站官方微博//@长三角铁路:2月26日9:50左右，沪杭高铁因地方单位施工影响，造成接触网故障，影响部分列车晚点，目前铁路部门正在组织抢修。,北京客运段微博,8秒前 来自小米10S,https://weibo.com/2488289007?refer_flag=1001030103_
#高铁晚点#G1301动了吗？​,CHHBeBE,13秒前 来自iPhone客户端,https://weibo.com/5936459777?refer_flag=1001030103_
见鬼了，居然能碰到高铁晚点这种百年难得一遇的事件…看来本命年过去之前即换到下一个大运之前不宜出行​,安能不思君,14秒前 来自iPhone12mini,https://weibo.com/3273098432?refer_flag=1001030103_
救命啊，10点57的高铁一个劲的晚点中啥时候能回到学校哇2嘉兴·桐乡站​,执星绘梦望遇你,18秒前 来自vivoX27,https://weibo.com/7396947766?refer_flag=1001030103_
真的无语//@铁路上海站:经过铁路部门紧急抢修，沪杭高铁因地方单位施工影响造成的接触网故障，已于13时02分全面恢复供电，列车运行秩序正在陆续恢复。由此给您带来不便，铁路部门深表歉意。具体晚点信息详见车站公告或拨打12306客服电话咨询。,冬木桃眠,20秒前 来自iPhone客户端,https://weibo.com/7046245871?refer_flag=1001030103_
#高铁晚点#晚点大队之一​,KUN_KIKI_,24秒前 来自HUAWEIP30Pro,https://weibo.com/6046698286?refer_flag=1001030103_
#高铁晚点#这学不上也罢​,是洋不是阳er,25秒前 来自iPhone客户端,https://weibo.com/5270085941?refer_flag=1001030103_
#高铁晚点#G1387预计1:49开阿弥陀佛​,XXXKIKO818,27秒前 来自GD女友iPhone13,https://weibo.com/3502609043?refer_flag=1001030103_
#高铁晚点#在高铁要发霉了让我的进校申请成功作废好开心​,取个啥名儿aa,30秒前 来自iPhone客户端,https://weibo.com/6298772985?refer_flag=1001030103_
#上海高铁晚点#有没有回南通的，我们拼个出租车🚕，总共估计500左右。我这边两个人，还差两个人，平均一个人估计也就100出头。​,用户7563148509,31秒前 来自iPhone客户端,https://weibo.com/7563148509?refer_flag=1001030103_
#高铁晚点#好不容易出门玩一趟硬是在杭州东停了一个多小时，现在还不出发​,热爱大自然的小潘,37秒前,https://weibo.com/5654688875?refer_flag=1001030103_
【今天，#沪杭高铁部分列车晚点#】,萧山日报,39秒前 来自iPhone客户端,https://weibo.com/1760203754?refer_flag=1001030103_
#高铁晚点#晚点下的上海虹桥​,见不到薛老师我就达拉崩吧_,43秒前 来自Redmi10X4G版,https://weibo.com/6039381569?refer_flag=1001030103_
#高铁晚点#还好没买转乘的票​,旧人悉如陌,46秒前 来自HUAWEIP40Pro5G,https://weibo.com/5627018956?refer_flag=1001030103_
#高铁晚点#倒霉蛋来了😅😅😅​,菲克伊特,52秒前 来自微博国际版,https://weibo.com/6353471416?refer_flag=1001030103_
#高铁晚点#飞机赶不上，损失800多，还一直折腾，唉，求学路漫漫啊2上饶·上饶县​,皮卡丘呀呀呀呀呀呀呀,52秒前 来自nova5Pro人像超级夜景,https://weibo.com/5836531066?refer_flag=1001030103_
#高铁晚点#今天能修好吗我在南京南十点多上站到现在还在原地​,cyathiaa,1分钟前 来自iPhone客户端,https://weibo.com/6088473638?refer_flag=1001030103_
【今天，#沪杭高铁部分列车晚点#】据@长三角铁路消息：2月26日9:50左右，沪杭高铁因地方单位施工影响，造成接触网故障，影响部分列车晚点，目前铁路部门正在组织抢修，具体原因正在调查。截至上午11点59分，记者从铁路部门了解到，经过铁路部门紧急抢修，沪杭高铁因地方单位施工影响造成的接触网故障​展开c,浙江日报,1分钟前 来自微博weibo.com,https://weibo.com/1708763410?refer_flag=1001030103_
#高铁晚点#高铁还是纹丝不动，已经在车上等了三个多小时，车次G1301目前停在距离虹桥十公里外，晒着太阳继续等2上海​,Yan星庭,1分钟前 来自HUAWEIMate30,https://weibo.com/6419785785?refer_flag=1001030103_
昨天晚上十二点半了，我还在收拾，结果停电了，修了修也没来电（今天姐说是电表坏了），然后空调也🈚️了，穿着羽绒服睡了，今早晨六点起来继续收拾，然后连滚带爬的赶上高铁了，结果还没走高铁突然停电了，说是啥没信号了，然后等了十几分钟，出发了，刚过来徐州，本来应该直接到家，结果好像这高铁​展开c,imchouniu,1分钟前 来自iPhone客户端,https://weibo.com/2775029055?refer_flag=1001030103_
#高铁晚点#晚点188分钟我也是第一次碰到2衢州·龙游县​,_小小确幸_,1分钟前 来自iPhone客户端,https://weibo.com/2788071277?refer_flag=1001030103_
#高铁晚点#此时此刻我感到无比幸福，原来幸福可以如此简单，呜呜呜​,是桔子啊喂,1分钟前 来自iPhone客户端,https://weibo.com/2752595643?refer_flag=1001030103_
#高铁晚点#恩我就是那个在高铁上干坐了三个半钟头的倒霉蛋，刚出虹桥站就停了，现在扛到回家再吃饭是我最后的倔强了。​,Acewhat_cwy,1分钟前 来自iPhone客户端,https://weibo.com/5214392161?refer_flag=1001030103_
#高铁晚点#七点就起来赶高铁了，早餐也没吃，还想着很快就到上海了，没想到晚到现在。饿到不行了。救救孩子2嘉兴·嘉善南站​,会跳绳的大象,1分钟前 来自iPhone客户端,https://weibo.com/2806013535?refer_flag=1001030103_
#高铁晚点#就45分钟的车程，从晚点30分钟到70分钟到150分钟再到255分钟，怎么就不让我走呢？2上海·松江南站​,唉呀妈呀不知道,1分钟前 来自荣耀Play让快更快,https://weibo.com/5458775094?refer_flag=1001030103_
#高铁晚点#动了​,十年如烟轻转流年,1分钟前 来自iPhone12,https://weibo.com/3740208147?refer_flag=1001030103_
#高铁晚点#动了！我真的谢​,bye我先溜咯,2分钟前,https://weibo.com/5459717674?refer_flag=1001030103_
#高铁晚点#羡慕就在此刻L令人心动的RMB·的微博视频​,令人心动的RMB·,2分钟前 来自做个乖宝HarmonyOS设备,https://weibo.com/7209812004?refer_flag=1001030103_
#高铁晚点#谢谢提醒，还没出发呢​,QTTTTTTTQ,2分钟前 来自vivoAI智慧拍照X21,https://weibo.com/2293749607?refer_flag=1001030103_
大无语事件//@铁路上海站:经过铁路部门紧急抢修，沪杭高铁因地方单位施工影响造成的接触网故障，已于13时02分全面恢复供电，列车运行秩序正在陆续恢复。由此给您带来不便，铁路部门深表歉意。具体晚点信息详见车站公告或拨打12306客服电话咨询。,_拾壹_11,2分钟前 来自超可爱的Android,https://weibo.com/1655967887?refer_flag=1001030103_
