微博内容,发布者名称,发布时间以及设备,发布者主页
这个问题可以去问丰县董集村的村干部他们比较有经验O贾汪区卞塘镇夏场村黑户怎么上户口？​,MoMserendipity,1秒前 来自iPhone12,https://weibo.com/5093891782?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况##江苏省委省政府调查组通报#,刀刀刀刀刀片,3秒前 来自iQOO7全感操控,https://weibo.com/5653555962?refer_flag=1001030103_
心有不甘，打死不服！#官方通报徐州丰县生育八孩女子情况##丰县生育八孩女子事件调查组成立#,沉茗香韵168,4秒前 来自nova4自拍极点全面屏,https://weibo.com/7229424928?refer_flag=1001030103_
有些人真的很奇怪欸，在哪说看看乌克兰吧，政府给了大家大环境上的稳定和平就很可以了，不要再在丰县的事情上继续苛责了。这种人才是真境外势力吧，我们是不是要完成中华民族的伟大复兴？我们难道要拖着一条长长的铁链，另一端锁着数以万计的被拐卖的妇女儿童复兴吗？​,呔何方妖怪哪里跑呢,9秒前 来自HUAWEIP30,https://weibo.com/6534347976?refer_flag=1001030103_
//@KOOKJIN好文明://@tonorth123:#建议各地对来历不明妇女儿童彻底排查##丰县生育八孩女子事件调查处理情况##丰县生育八孩女子事件调查组成立#从钟某仙开始查起吧//@巫山六月雪://@热水梨://@滋油大肥驴:请徐州公布钟某仙的身份和经历！总不能和杨某侠一模一样吧？,毛小正we_dont_crash_EVER,12秒前 来自iPhone11,https://weibo.com/7399462543?refer_flag=1001030103_
//@铜钱酱转机快来nobody:骚扰口中过，铁链心中留//@布特苏格裂:youcantaketheboyoutof丰县butyoucanttake丰县outoftheboy,想去千叶和北海道,21秒前 来自朱白のiPhone13,https://weibo.com/1767428041?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,趴着睡觉世界冠军,22秒前 来自iPhone客户端,https://weibo.com/2972471500?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况##丰县生育八孩女子事件调查组成立#原来，g卖，强j，可以发家致富,二十走戉,23秒前 来自iPhone13Pro,https://weibo.com/6589052781?refer_flag=1001030103_
//@123今天有开心吗:什么问题？#丰县生育八孩女子事件调查组成立##官方通报徐州丰县生育八孩女子情况##徐州公布丰县生育八孩女子调查进展##徐州#,用户6159634739,24秒前 来自微博极速版,https://weibo.com/6159634739?refer_flag=1001030103_
//@趴趴走的蝶:#官方通报徐州丰县生育八孩女子情况#//@LiKe不機嫌:#官方通报徐州丰县生育八孩女子情况#他做了这么多极恶之事，却只受到了不痛不痒的几句指责？//@一言炸裂中://@一仔_山吹千本_GS4入学済://@不知火结Makki://@正直老学鸠:热度不能降，求求了，这才是确确实实发生在我们身边的事,张文韬199209,27秒前 来自RedmiK40,https://weibo.com/7405767977?refer_flag=1001030103_
行动起来，不要口号//@杨澜:“丰县生育八孩女子”事件不仅是个人之痛，也是社会之痛。在这个时代，还有女性无法保护最基本的人身权利，需要的不仅是对相关责任人的惩罚，更应该有系统性的回应和解决方案！,yizjdk9an1gfc,28秒前 来自iPhone客户端,https://weibo.com/7416320857?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,-Mercurius-,30秒前 来自荣耀X105G,https://weibo.com/2358438733?refer_flag=1001030103_
如果我完全坦诚，就必须承认，有些以个人为主体的号这两天出来反战，昨天之前对丰县只字不提的话，我内心是有点judge的。当然这里面有同理心角度和发言成本的因素，他们的反战未必不是真诚的。所以我的失望大概停留在对世界感知的参差上，上门道德绑架大可不必。​,痴娃说梦,30秒前 来自微博国际版,https://weibo.com/1057191363?refer_flag=1001030103_
//@月亮果子酒://@你今天喝不喝红茶:拿战争玩烂梗的，和对丰县一言不发的，都是对普通人生命安全的漠视。我是普通人，我共情压迫和战争下的普通人。爱抖机灵的，别忘了你们也只是普通人，不是政治游戏的参与者和规则制定者。,夕言的微博,33秒前 来自iPhone客户端,https://weibo.com/2869803024?refer_flag=1001030103_
。//@药量非常不足://@HoKUUUUUUUto:…//@布特苏格裂:youcantaketheboyoutof丰县butyoucanttake丰县outoftheboy,此人持刀不掐架,40秒前 来自🦁️👩iPhoneXR,https://weibo.com/5605180610?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况#,许清洛,42秒前 来自Android,https://weibo.com/5104378651?refer_flag=1001030103_
丰县检察院,ysnnnnn加油加油,47秒前 来自8k🥢iPhone客户端,https://weibo.com/2766588991?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,未知的南田野,48秒前 来自微博weibo.com,https://weibo.com/7478622748?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,现已加入儿童节豪华午餐,1分钟前 来自iQOONeo5生而为赢,https://weibo.com/6474790927?refer_flag=1001030103_
可以了，已经改变历史了，鼓励犯罪了，犯“董志明罪”。#官方通报徐州丰县生育八孩女子情况##丰县生育八孩女子事件调查处理情况#这种处理方式误国啊。,抱抱熊啃牛油果,1分钟前 来自iPhone客户端,https://weibo.com/7399195928?refer_flag=1001030103_
//@良神乐之:#江苏省成立丰县生育八孩女子事件调查组##官方通报徐州丰县生育八孩女子情况##被铁链子拴着的八个孩子的妈妈#,吱吱喳喳啾啾,1分钟前 来自iPhone客户端,https://weibo.com/1608579657?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况##丰县生育八孩女子事件调查处理情况#,下次_定,1分钟前 来自Android,https://weibo.com/5974451376?refer_flag=1001030103_
://@巴巴佩克:支持拐卖婚姻无效化，被拐妇女愿意的话去重新申领结婚证！法律需要做到让买了白买，拐卖所得的婚姻、子女关系不予法律承认！保障公民基本人权！从犯罪问题到腐败问题，严肃追责。#对丰县生育八孩女子事件彻查真相##丰县生育八孩女子事件调查组成立##对生育八孩女子事件责任人严肃追责#,高贵冷艳188,1分钟前 来自vivoS7轻薄自拍旗舰,https://weibo.com/6789801332?refer_flag=1001030103_
//@铜钱酱转机快来nobody:骚扰口中过，铁链心中留//@布特苏格裂:youcantaketheboyoutof丰县butyoucanttake丰县outoftheboy,养一头猪大户钱串子,1分钟前 来自iPhone客户端,https://weibo.com/2102114970?refer_flag=1001030103_
丰县事件之后，图穷匕见,蜗牛果冻,1分钟前 来自荣耀10AI变色更潮美,https://weibo.com/2174392425?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,天生欧气难自弃-川川,1分钟前 来自iPhone客户端,https://weibo.com/1694965512?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况#,Snwonknu,1分钟前 来自iPhone客户端,https://weibo.com/2260267420?refer_flag=1001030103_
#丰县生育八孩女子事件调查处理情况#这届网友不好糊弄了#对丰县生育八孩女子事件彻查真相#哎,马户虫南一家亲,1分钟前 来自微博国际版,https://weibo.com/6137996257?refer_flag=1001030103_
//@厚大法考培训官博:《“丰县生育八孩女子”事件的行政法考点分析》过儿们快码住学习！#法考#,niuniu0215,1分钟前 来自RedmiK20Pro尊享版,https://weibo.com/2297886714?refer_flag=1001030103_
……//@铜钱酱转机快来nobody:骚扰口中过，铁链心中留//@布特苏格裂:youcantaketheboyoutof丰县butyoucanttake丰县outoftheboy,fkhanI,1分钟前 来自iPhone11,https://weibo.com/6967575253?refer_flag=1001030103_
#徐州代市长称丰县事件令人寝食难安#L然后我就上山种地去了的微博视频​,然后我就上山种地去了,1分钟前 来自iPhone客户端,https://weibo.com/1632257800?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况##丰县生育八孩女子事件调查组成立##丰县生育八孩女子事件调查处理情况#//@或幻想或现实在一念之间:她仅仅只是换了个部位套上了新的链子,嬷嬷要克服拖延症,1分钟前 来自nova5Pro人像超级夜景,https://weibo.com/2052463502?refer_flag=1001030103_
对丰县事件一言不发，战争打响却立马纷纷编段子抖机灵抢着收留乌克兰美少女恶心吐了​,好吧海镜,1分钟前 来自iPhone客户端,https://weibo.com/7695979859?refer_flag=1001030103_
//@酒千千千:徐州丰县：别关注啦，我们还要搞钱啦//@有酒盈樽ss://@七花喵_荣耀不败://@LAI_猫连狗都不如:国男最爱挥斥方遒大谈国际形势//@十二光夜:关注度瞬间低谷……//@魇爱_林敬言的女朋友://@酒杯_唠唠叨叨,Konnpeki_多重快乐,1分钟前 来自iPhone客户端,https://weibo.com/5695835924?refer_flag=1001030103_
#官方通报徐州丰县生育八孩女子情况#确实自由💩//@大头儿子和五彩豆豆320:想起一个网友说的话：我们和美国人民一样自由，都可以骂美国总统！！！,Liveinthepsychocandyworld,1分钟前 来自OPPO智能手机,https://weibo.com/6008183593?refer_flag=1001030103_
//@杨澜:“丰县生育八孩女子”事件不仅是个人之痛，也是社会之痛。在这个时代，还有女性无法保护最基本的人身权利，需要的不仅是对相关责任人的惩罚，更应该有系统性的回应和解决方案！,大头今天不加班,1分钟前 来自小米11青春版,https://weibo.com/1943807265?refer_flag=1001030103_
+1，之前很多的转发都被夹了是真的//@玉米很黄:继续关注#官方通报徐州丰县生育八孩女子情况#,用脚洗碗,2分钟前 来自微博国际版,https://weibo.com/2515619254?refer_flag=1001030103_
//@_Reno_挚爱FF:不管怎么样，她必须离开丰县，甚至是江苏//@想冬眠的十万:是的//@love怡然_:其实，想说，让所谓的“儿子”离她远一点,清汐无陌,2分钟前 来自Android,https://weibo.com/3179735992?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,嵛婶婶,2分钟前 来自微博国际版,https://weibo.com/5643244311?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,思念丶满天星,2分钟前 来自荣耀20i,https://weibo.com/7266903206?refer_flag=1001030103_
鼓励犯罪是真的//@大痴SPN-23:拿这个做威胁恐吓，真下贱//@早睡保命冬耳君://@一枚海棠酥:丰县铁链女案件的负面示范效应：鼓励犯罪//@黄葵红锦墨旱莲:畜生，活蛆//@希露Rook:在接收上层信号方面，人贩子们表现出了闻风而动的敏锐👏🏻,宝宝雪豹抱抱,2分钟前 来自iPhone12ProMax,https://weibo.com/3151689915?refer_flag=1001030103_
//@西域鹅盖饭://@更替新人P:转发丰县的事情，我小号已经被禁言一个月了//@海狮叫不切吧://@_三水溪_:中肯这两天丰县热度都降了唉,祭酒X,2分钟前 来自iPadPro,https://weibo.com/5283491318?refer_flag=1001030103_
//@-吃个火锅吧:#丰县生育八孩女子事件调查组成立#//@西北北风喝多了://@衔蝉夏犹清://@纯洁白果酱:正确的集体记忆罢了//@狗剩全在弹坑里://@WHYyy_ME://@钻石大UVW://@草户达:没有，全程都是董家村的人再说，她妹妹她亲戚的采访好像都没有，在云南主要确认她身份的人是当地的一位村干部和几个,吱吱喳喳啾啾,2分钟前 来自iPhone客户端,https://weibo.com/1608579657?refer_flag=1001030103_
//@123今天有开心吗:是怎么回事？#丰县生育八孩女子事件调查组成立##官方通报徐州丰县生育八孩女子情况##徐州公布丰县生育八孩女子调查进展##徐州#,幸福的可可,2分钟前 来自iPhone客户端,https://weibo.com/1457403923?refer_flag=1001030103_
前天丰县调查结果，今天普京万字讲话，在下面评论“字太多有课代表吗”之类话的人都是傻比。​​​,我就像雪天,2分钟前 来自iPhone客户端,https://weibo.com/5737940982?refer_flag=1001030103_
//@王灿sz:100个谎言#官方通报徐州丰县生育八孩女子情况##丰县生育八孩女子事件调查组成立##丰县生育八孩女子事件调查处理情况#,幸福的可可,2分钟前 来自iPhone客户端,https://weibo.com/1457403923?refer_flag=1001030103_
/@嗷嘟turbo:#徐州八个孩子母亲##丰县生育八孩女子事件调查处理情况##官方通报徐州丰县生育八孩女子情况#希望重新调查，告诉我们真相!!!!!,云上太阳1997,2分钟前 来自小米10,https://weibo.com/6508116212?refer_flag=1001030103_
