微博内容,发布者名称,发布时间以及设备,发布者主页
#日本将对俄实施新制裁##俄军正在突破基辅防守#​,木匠陆拓,2秒前 来自iPhone客户端,https://weibo.com/6361783433?refer_flag=1001030103_
逼哥，我是乌克兰基辅的粉丝，我这真在进行保卫战，我需要您的支持，请快的发微博支持一下,办法永远比困难多2020,3秒前 来自K30至尊纪念版,https://weibo.com/7362847072?refer_flag=1001030103_
#中国国旗在基辅脱销#九敏，有点泪目又觉得有点好笑是怎么回事。没想到在乌华人还是不少的，希望他们都能安全回国，一定要安全回国吖！！！！！！！呜呜呜呜​,在陰天里散步的墨猫,3秒前 来自荣耀10AI变色更潮美,https://weibo.com/1642848917?refer_flag=1001030103_
我估计俄罗斯军队不会进基辅，包围基辅兵临城下，逼泽哈夫投降谈判。//@金灿荣教授:【#俄军距基辅约35公里#】,班长阿伟,4秒前 来自新版微博weibo.com,https://weibo.com/6516635917?refer_flag=1001030103_
#中国国旗在基辅脱销##在乌中国公民请不要穿迷彩服外出##在乌华人拿口红画五星红旗#无论你身在何处，不要忘记，你身后有一个强大的祖国~L综艺每日精选的微博视频​,综艺每日精选,6秒前 来自综艺大咖秀超话,https://weibo.com/6090644822?refer_flag=1001030103_
在基辅北部的明斯克地铁站可以听到枪声和激烈的战斗声LSOSUS的微博视频​,SOSUS,8秒前 来自微博视频号,https://weibo.com/1396277000?refer_flag=1001030103_
【#在乌广州女孩称基辅炮声清晰不敢入眠#】#基辅华人半夜被爆炸声惊醒#25日上午，央视网记者连线目前仍在乌克兰首都基辅的广州姑娘Nicole。她告诉记者，基辅半夜的爆炸声将她从睡梦中惊醒，不敢入眠。从她所住的房间窗户向外看去，凌晨5点的基辅市中心街道一片安静，路灯依然通明。目前家里水电和网络​展开c,中工网,11秒前 来自微博视频号,https://weibo.com/2292896411?refer_flag=1001030103_
#总台独家直击基辅#【现场视频：#基辅拉响防空警报#】,魅力皋兰,12秒前 来自新版微博weibo.com,https://weibo.com/7140398611?refer_flag=1001030103_
讲一讲俄罗斯乌克兰北约🇺🇸最近的“爱恨情仇”很多人不明白~俄罗斯和乌克兰~之间为啥闹，换一种通俗的比拟方式给您叙述一下就明白了：20多年前，乌克兰与前夫(俄罗斯)离婚，几个孩子也归了她，前夫对她也很够意思给了不少钱还留下了不少家产，之后前夫俄罗斯~还替她还​展开c,莯蓉霖,18秒前 来自OPPOReno5Pro+限定,https://weibo.com/6703066368?refer_flag=1001030103_
#中国国旗在基辅脱销#此生不悔入华夏，来生还做华夏人​,zyyyyiiiiiiu,20秒前 来自iPhone客户端,https://weibo.com/3872979896?refer_flag=1001030103_
【#乌方称俄军距基辅市约35公里#】当地时间25日，据乌克兰武装部队消息，俄军正式进入基辅州的沃尔泽利市，距离基辅市大约35公里。#俄乌局势最新进展#（总台记者曹胜济）俄军正式进入距基辅市约35公里的沃尔泽利市​​​O俄军正式进入距基辅市约35公里的沃尔泽利市​,魅力皋兰,24秒前 来自新版微博weibo.com,https://weibo.com/7140398611?refer_flag=1001030103_
//@伊利达雷之怒:NGA上还有个魔兽老哥在基辅出差，下面还有人安慰他“没事基辅不在前线”，然后他回了句“但是前线会靠近基辅啊”，原谅我当时没忍住笑出了声......,海中深色,28秒前 来自iPhone客户端,https://weibo.com/7316892185?refer_flag=1001030103_
#凤凰新闻#“今天早上，我们独自保卫我们的国家，就像昨天一样，而世界上最强大的力量喝着小酒，正在远处观望。”——乌克兰总统泽连斯基，是一个好演员，甚至可以成为一个出色的文学家，当总统实在勉为其难，很不称职！有一句古语:早知如此，何必当初！【乌克兰总统再发表讲话：对话开始越早俄罗​展开c,冷眼一丁,29秒前 来自凤凰新闻,https://weibo.com/1246122744?refer_flag=1001030103_
可以拉黑原博了//@从天空俯瞰人类的彩虹:欧美真的好会打舆论战，乌东人被硬生生说成是基辅人。实际上轰炸他们家园的是乌克兰政府军，收留他们的反而是俄罗斯。包括这张在简中流传甚广的图，也是乌东的小孩子。评论配图,Hodzey,31秒前 来自小米11Pro,https://weibo.com/3947404443?refer_flag=1001030103_
【乌方称在基辅击落一架俄罗斯飞机残骸坠落引发建筑起火】2月25日，乌克兰内政部称乌军在基辅击落了一架俄罗斯飞机。据央视新闻此前报道，当地时间25日，一架尚未明确来源的飞行器，坠毁在乌克兰基辅市区的一栋高层建筑顶部并引发火灾。@沸点国际L沸点国际的微博视频​展开c,晨报李国平,33秒前 来自iPhone客户端,https://weibo.com/1569569157?refer_flag=1001030103_
//@宋词:#新华社记者夜行550公里奔赴基辅#敬佩,爱托卡爱成都队的fenghua1314,45秒前 来自nova5z,https://weibo.com/1873809540?refer_flag=1001030103_
#焦点时刻#【一图梳理#俄乌冲突时间线#】当地时间25日8时20分许，俄罗斯战斗机群接近乌克兰首都基辅。基辅市防空警报再次拉响，市政府敦促所有市民前往避难所。北京时间2月22日以来，俄乌局势重要节点一图梳理↓↓目前，总台记者仍在前方坚守，@央视新闻持续关注#俄乌局势最新进展#！​​​,湖北之声,46秒前 来自iPhone客户端,https://weibo.com/1840551510?refer_flag=1001030103_
【直击丨俄战斗机群接近乌首都基辅防空警报再次拉响】大众网的微博直播​,大众网,46秒前 来自微博直播平台,https://weibo.com/2620088113?refer_flag=1001030103_
身穿乌克兰军装的俄罗斯军队控制了乌克兰的军车，并开向基辅。。。​,爆裂魔法師AI希,47秒前 来自微博weibo.com,https://weibo.com/1839163410?refer_flag=1001030103_
【#俄战斗机群接近基辅#】当地时间25日8时20分许，俄罗斯的一支战斗机群接近乌克兰首都基辅，将于10至15分钟到达基辅上空。基辅市防空警报再次拉响，市政府敦促所有市民前往避难所。#俄乌局势最新进展#（总台记者曹胜济王晋燕）网页链接​​​O网页链接​,魅力皋兰,51秒前 来自新版微博weibo.com,https://weibo.com/7140398611?refer_flag=1001030103_
#田埂工作室#《俄乌快讯：俺在乌克兰的忘年交下午3时告诉我：基辅还可以…》见截屏…2桐乡市​,乌镇老田埂,52秒前 来自HUAWEIMate305G,https://weibo.com/1312046543?refer_flag=1001030103_
#新华社记者遭乌克兰士兵端枪质问##新华社记者夜行550公里奔赴基辅#战地记者冒着极大的危险记录战场真实情况，还原战争原样，是值得被历史铭记的一群伟大的人！​​​,Hotcat68,1分钟前 来自OPPOFindX3,https://weibo.com/5631229750?refer_flag=1001030103_
在乌华人：中国国旗在基辅脱销热点​,蓝烟枫,1分钟前 来自HUAWEIMate20,https://weibo.com/5603357062?refer_flag=1001030103_
