,微博内容,分词后,去除停用词之后
0,习近平会见来京述职的林郑月娥新闻频道来源：央视网2021年12月22日20:42A-A+我要分享画中画　　国家主席习近平22日下午在中南海瀛台会见来京述职的香港特别行政区行政长官林郑月娥，听取她对香港当前形势和特别行政区政府工作情况的汇报。　　习近平指出，一年来，香港由乱到治的局面不断巩固​展开c,"['习近平', '会见', '来京', '述职', '的', '林', '郑月', '娥', '新闻频道', '来源', '：', '央视网', '2021', '年', '12', '月', '22', '日', '20', ':', '42A', '-', 'A', '+', '我要', '分享', '画中画', '\u3000', '\u3000', '国家', '主席', '习近平', '22', '日', '下午', '在', '中南海', '瀛台', '会见', '来京', '述职', '的', '香港特别行政区', '行政长官', '林', '郑月', '娥', '，', '听取', '她', '对', '香港', '当前', '形势', '和', '特别', '行政区', '政府', '工作', '情况', '的', '汇报', '。', '\u3000', '\u3000', '习近平', '指出', '，', '一年', '来', '，', '香港', '由乱', '到', '治', '的', '局面', '不断', '巩固', '\u200b', '展开', 'c']","['习近平', '会见', '来京', '述职', '林', '郑月', '娥', '新闻频道', '来源', '：', '央视网', '2021', '年', '12', '月', '22', '日', '20', '42A', '-', 'A', '我要', '分享', '画中画', '\u3000', '\u3000', '国家', '主席', '习近平', '22', '日', '下午', '中南海', '瀛台', '会见', '来京', '述职', '香港特别行政区', '行政长官', '林', '郑月', '娥', '，', '听取', '香港', '形势', '特别', '行政区', '政府', '工作', '情况', '汇报', '。', '\u3000', '\u3000', '习近平', '指出', '，', '一年', '，', '香港', '由乱', '治', '局面', '\u200b', '展开', 'c']"
1,【奋力走好新时代赶考路】党的十九届六中全会审议通过的《中共中央关于党的百年奋斗重大成就和历史经验的决议》指出，过去一百年，党向人民、向历史交出了一份优异的答卷。现在，党团结带领中国人民又踏上了实现第二个百年奋斗目标新的赶考之路。这是立足党的百年历史新起点、接续推进中华民族伟大复兴​展开c,"['【', '奋力', '走', '好', '新', '时代', '赶考', '路', '】', '党', '的', '十九', '届', '六中全会', '审议', '通过', '的', '《', '中共中央', '关于', '党', '的', '百年', '奋斗', '重大成就', '和', '历史', '经验', '的', '决议', '》', '指出', '，', '过去', '一百年', '，', '党', '向', '人民', '、', '向', '历史', '交出', '了', '一份', '优异', '的', '答卷', '。', '现在', '，', '党', '团结', '带领', '中国', '人民', '又', '踏上', '了', '实现', '第二个', '百年', '奋斗目标', '新', '的', '赶考', '之', '路', '。', '这是', '立足', '党', '的', '百年', '历史', '新起点', '、', '接续', '推进', '中华民族', '伟大', '复兴', '\u200b', '展开', 'c']","['奋力', '走', '好', '新', '时代', '赶考', '路', '党', '十九', '届', '六中全会', '审议', '中共中央', '党', '百年', '奋斗', '重大成就', '历史', '经验', '决议', '指出', '，', '一百年', '，', '党', '人民', '历史', '交出', '一份', '优异', '答卷', '。', '，', '党', '团结', '带领', '中国', '人民', '踏上', '第二个', '百年', '奋斗目标', '新', '赶考', '路', '。', '这是', '立足', '党', '百年', '历史', '新起点', '接续', '推进', '中华民族', '复兴', '\u200b', '展开', 'c']"
2,#公文写作#发布了头条文章：《学习十九届六中全会精神专题党课讲稿：百年文化路一部经验史》公务员O学习十九届六中全会精神专题党课讲稿：百年文化路一部经验史​,"['#', '公文', '写作', '#', '发布', '了', '头条', '文章', '：', '《', '学习', '十九', '届', '六中全会', '精神', '专题', '党课', '讲稿', '：', '百年', '文化路', '一部', '经验', '史', '》', '\ue627', '公务员', 'O', '学习', '十九', '届', '六中全会', '精神', '专题', '党课', '讲稿', '：', '百年', '文化路', '一部', '经验', '史', '\u200b']","['公文', '写作', '发布', '头条', '文章', '：', '学习', '十九', '届', '六中全会', '精神', '专题', '党课', '讲稿', '：', '百年', '文化路', '一部', '经验', '史', '\ue627', '公务员', 'O', '学习', '十九', '届', '六中全会', '精神', '专题', '党课', '讲稿', '：', '百年', '文化路', '一部', '经验', '史', '\u200b']"
3,#深入学习宣传贯彻党的十九届六中全会精神奋力建设“四强两区一美”两湾先行试验区#12月21日，容县举行2021年“冲刺四季度打好收官战”招商引资重大项目集中签约仪式，签约的6个招商项目涵盖生态板材家具、大健康、服装玩具等行业，总投资约6.3亿元。项目建成后，可实现年产值超10.9亿元，年利税超3​展开c,"['#', '深入', '学习', '宣传', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '奋力', '建设', '“', '四强', '两区', '一美', '”', '两湾', '先行', '试验区', '#', '12', '月', '21', '日', '，', '容县', '举行', '2021', '年', '“', '冲刺', '四季度', '打', '好', '收官战', '”', '招商引资', '重大项目', '集中', '签约', '仪式', '，', '签约', '的', '6', '个', '招商', '项目', '涵盖', '生态', '板材', '家具', '、', '大', '健康', '、', '服装', '玩具', '等', '行业', '，', '总', '投资', '约', '6.3', '亿元', '。', '项目', '建成', '后', '，', '可', '实现', '年产值', '超', '10.9', '亿元', '，', '年利税', '超', '3', '\u200b', '展开', 'c']","['学习', '宣传', '贯彻', '党', '十九', '届', '六中全会', '精神', '奋力', '建设', '“', '四强', '两区', '一美', '”', '两湾', '先行', '试验区', '12', '月', '21', '日', '，', '容县', '2021', '年', '“', '冲刺', '四季度', '好', '收官战', '”', '招商引资', '重大项目', '签约', '仪式', '，', '签约', '招商', '项目', '涵盖', '生态', '板材', '家具', '大', '健康', '服装', '玩具', '行业', '，', '总', '投资', '约', '6.3', '亿元', '。', '项目', '建成', '后', '，', '年产值', '超', '10.9', '亿元', '，', '年利税', '超', '\u200b', '展开', 'c']"
4,尹弘在全省国防动员和后备力量“三项基础”建设总结表彰会上强调：坚持以习近平强军思想为指导，全面扎实推进“三项基础”建设新甘肃2021-12-2120:41:12112月21日，全省国防动员和后备力量“三项基础”建设总结表彰会暨领导小组会在省军区召开。省委书记、省军区党委第一书记尹弘出席并讲话。新​展开c,"['尹弘', '在', '全省', '国防', '动员', '和', '后备力量', '“', '三项', '基础', '”', '建设', '总结', '表彰会', '上', '强调', '：', '坚持', '以', '习近平', '强军', '思想', '为', '指导', '，', '全面', '扎实', '推进', '“', '三项', '基础', '”', '建设', '新', '甘肃', '2021', '-', '12', '-', '2120', ':', '41', ':', '12112', '月', '21', '日', '，', '全省', '国防', '动员', '和', '后备力量', '“', '三项', '基础', '”', '建设', '总结', '表彰会', '暨', '领导', '小组会', '在', '省军区', '召开', '。', '省委书记', '、', '省军区', '党委', '第一书记', '尹弘', '出席', '并', '讲话', '。', '新', '\u200b', '展开', 'c']","['尹弘', '全省', '国防', '动员', '后备力量', '“', '三项', '基础', '”', '建设', '表彰会', '上', '：', '习近平', '强军', '思想', '指导', '，', '扎实', '推进', '“', '三项', '基础', '”', '建设', '新', '甘肃', '2021', '-', '12', '-', '2120', '41', '12112', '月', '21', '日', '，', '全省', '国防', '动员', '后备力量', '“', '三项', '基础', '”', '建设', '表彰会', '暨', '领导', '小组会', '省军区', '。', '省委书记', '省军区', '党委', '第一书记', '尹弘', '出席', '讲话', '。', '新', '\u200b', '展开', 'c']"
5,【黄喜忠：在统战领域扛起“江西责任”作出“江西贡献”】12月22日，省委常委、省委统战部部长黄喜忠来到省社会主义学院，为参加全省县(市、区)党委统战部长培训班的全体学员作专题辅导报告，宣讲党的十九届六中全会精神。省直统战系统单位的机关干部一同聆听了报告。O黄喜忠：在统战领域扛起“江西责任”作出“江西贡献”​,"['【', '黄喜忠', '：', '在', '统战', '领域', '扛起', '“', '江西', '责任', '”', '作出', '“', '江西', '贡献', '”', '】', '12', '月', '22', '日', '，', '省委常委', '、', '省委', '统战部', '部长', '黄喜忠', '来到', '省', '社会主义', '学院', '，', '为', '参加', '全省', '县', '(', '市', '、', '区', ')', '党委', '统战部长', '培训班', '的', '全体', '学员', '作', '专题', '辅导', '报告', '，', '宣讲', '党', '的', '十九', '届', '六中全会', '精神', '。', '省直', '统战', '系统', '单位', '的', '机关干部', '一同', '聆听', '了', '报告', '。', 'O', '黄喜忠', '：', '在', '统战', '领域', '扛起', '“', '江西', '责任', '”', '作出', '“', '江西', '贡献', '”', '\u200b']","['黄喜忠', '：', '统战', '领域', '扛起', '“', '江西', '责任', '”', '作出', '“', '江西', '贡献', '”', '12', '月', '22', '日', '，', '省委常委', '省委', '统战部', '部长', '黄喜忠', '来到', '省', '社会主义', '学院', '，', '参加', '全省', '县', '(', '市', '区', ')', '党委', '统战部长', '培训班', '全体', '学员', '作', '专题', '辅导', '报告', '，', '宣讲', '党', '十九', '届', '六中全会', '精神', '。', '省直', '统战', '系统', '单位', '机关干部', '一同', '聆听', '报告', '。', 'O', '黄喜忠', '：', '统战', '领域', '扛起', '“', '江西', '责任', '”', '作出', '“', '江西', '贡献', '”', '\u200b']"
6,尹弘在省委党的建设工作领导小组会议上强调：牢固树立抓好党建是最大政绩理念，不断提高全省党的建设质量和水平新甘肃2021-12-2123:35:461_副本12月21日，省委党的建设工作领导小组会议在兰州召开，省委书记、省委党的建设工作领导小组组长尹弘主持会议并讲话。新甘肃·甘肃日报记者孟捷新甘肃​展开c,"['尹弘', '在', '省委', '党的建设', '工作', '领导', '小组会议', '上', '强调', '：', '牢固', '树立', '抓好', '党建', '是', '最大', '政绩', '理念', '，', '不断', '提高', '全省', '党的建设', '质量', '和', '水平', '新', '甘肃', '2021', '-', '12', '-', '2123', ':', '35', ':', '461', '_', '副本', '12', '月', '21', '日', '，', '省委', '党的建设', '工作', '领导', '小组会议', '在', '兰州', '召开', '，', '省委书记', '、', '省委', '党的建设', '工作', '领导小组', '组长', '尹弘', '主持会议', '并', '讲话', '。', '新', '甘肃', '·', '甘肃', '日报', '记者', '孟捷', '新', '甘肃', '\u200b', '展开', 'c']","['尹弘', '省委', '党的建设', '工作', '领导', '小组会议', '上', '：', '牢固', '树立', '抓好', '党建', '政绩', '理念', '，', '提高', '全省', '党的建设', '质量', '水平', '新', '甘肃', '2021', '-', '12', '-', '2123', '35', '461', '_', '副本', '12', '月', '21', '日', '，', '省委', '党的建设', '工作', '领导', '小组会议', '兰州', '，', '省委书记', '省委', '党的建设', '工作', '领导小组', '组长', '尹弘', '主持会议', '讲话', '。', '新', '甘肃', '·', '甘肃', '日报', '记者', '孟捷', '新', '甘肃', '\u200b', '展开', 'c']"
7,#学习十九届六中全会精神#《安康市委理论学习中心组专题学习研讨党的十九届六中全会精神》安康O安康市委理论学习中心组专题学习研讨党的十九届六中全会精神​,"['#', '学习', '十九', '届', '六中全会', '精神', '#', '《', '安康', '市委', '理论', '学习', '中心组', '专题学习', '研讨', '党', '的', '十九', '届', '六中全会', '精神', '》', '\ue627', '安康', 'O', '安康', '市委', '理论', '学习', '中心组', '专题学习', '研讨', '党', '的', '十九', '届', '六中全会', '精神', '\u200b']","['学习', '十九', '届', '六中全会', '精神', '安康', '市委', '理论', '学习', '中心组', '专题学习', '研讨', '党', '十九', '届', '六中全会', '精神', '\ue627', '安康', 'O', '安康', '市委', '理论', '学习', '中心组', '专题学习', '研讨', '党', '十九', '届', '六中全会', '精神', '\u200b']"
8,//@济南生态环境:【山东：省生态环境厅举办处级干部党的十九届六中全会精神专题学习班结业式】,"['/', '/', '@', '济南', '生态环境', ':', '【', '山东', '：', '省', '生态环境', '厅', '举办', '处级', '干部', '党', '的', '十九', '届', '六中全会', '精神', '专题', '学习班', '结业式', '】']","['济南', '生态环境', '山东', '：', '省', '生态环境', '厅', '举办', '处级', '干部', '党', '十九', '届', '六中全会', '精神', '专题', '学习班', '结业式']"
9,#廊坊播报#【我市开展文艺宣讲进企业活动】近日，由市委宣传部主办的“学习贯彻党的十九届六中全会精神·廊坊宣讲在行动”活动走进富士康精密电子（廊坊）有限公司和廊坊银行广阳道支行，用“文艺+宣讲”的形式把党的十九届六中全会精神送到基层，让全会精神在基层落地生根、开花结果。学党史、燃激​展开c,"['#', '廊坊', '播报', '#', '【', '我市', '开展', '文艺', '宣讲', '进', '企业', '活动', '】', '近日', '，', '由', '市委', '宣传部', '主办', '的', '“', '学习', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '·', '廊坊', '宣讲', '在', '行动', '”', '活动', '走进', '富士康', '精密', '电子', '（', '廊坊', '）', '有限公司', '和', '廊坊', '银行', '广阳', '道', '支行', '，', '用', '“', '文艺', '+', '宣讲', '”', '的', '形式', '把', '党', '的', '十九', '届', '六中全会', '精神', '送到', '基层', '，', '让', '全会精神', '在', '基层', '落地生根', '、', '开花结果', '。', '学', '党史', '、', '燃激', '\u200b', '展开', 'c']","['廊坊', '播报', '我市', '文艺', '宣讲', '进', '企业', '活动', '近日', '，', '市委', '宣传部', '主办', '“', '学习', '贯彻', '党', '十九', '届', '六中全会', '精神', '·', '廊坊', '宣讲', '”', '活动', '走进', '富士康', '精密', '电子', '廊坊', '有限公司', '廊坊', '银行', '广阳', '道', '支行', '，', '“', '文艺', '宣讲', '”', '形式', '党', '十九', '届', '六中全会', '精神', '送到', '基层', '，', '全会精神', '基层', '落地生根', '开花结果', '。', '学', '党史', '燃激', '\u200b', '展开', 'c']"
